Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Frederico Gemesio Lemos;1030084;Nº Da Autorização/Licença Sisbio: 18913, Projeto: Ecologia E Conservação De Felinos Ameaçados De Extinção No Triângulo Mineiro E No Sudeste De Goiás;18/05/2015;19/05/2015 a 13/08/2015;15/07/2017;Puma concolor;Onça-parda;Puma concolor;species;3;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Área De Influência Direta Do Complexo Energetico Amador Aguiar;Brasil;MG;Araguari;Espécie não Sensível;-18.665833;-48.179722;Coordenada de referência da área amostrada;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Frederico Gemesio Lemos;1030085;Nº Da Autorização/Licença Sisbio: 18913, Projeto: Ecologia E Conservação De Felinos Ameaçados De Extinção No Triângulo Mineiro E No Sudeste De Goiás;18/05/2015;19/05/2015 a 13/08/2015;15/07/2017;Puma concolor;Onça-parda;Puma concolor;species;3;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Área De Influência Direta Do Complexo Energetico Amador Aguiar;Brasil;MG;Araguari;Espécie não Sensível;-18.665833;-48.179722;Coordenada de referência da área amostrada;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Frederico Gemesio Lemos;1030086;Nº Da Autorização/Licença Sisbio: 18913, Projeto: Ecologia E Conservação De Felinos Ameaçados De Extinção No Triângulo Mineiro E No Sudeste De Goiás;18/05/2015;19/05/2015 a 13/08/2015;15/07/2017;Puma concolor;Onça-parda;Puma concolor;species;3;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Área De Influência Direta Do Complexo Energetico Amador Aguiar;Brasil;MG;Araguari;Espécie não Sensível;-18.665833;-48.179722;Coordenada de referência da área amostrada;Sem Informações;Depositado em banco de amostras biológicas
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Frederico Gemesio Lemos;1030087;Nº Da Autorização/Licença Sisbio: 18913, Projeto: Ecologia E Conservação De Felinos Ameaçados De Extinção No Triângulo Mineiro E No Sudeste De Goiás;03/04/2016;04/04/2016 a 10/04/2016;15/07/2017;Puma concolor;Onça-parda;Puma concolor;species;2;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Área De Influência Direta Do Complexo Energetico Amador Aguiar;Brasil;MG;Araguari;Espécie não Sensível;-18.665833;-48.179722;Coordenada de referência da área amostrada;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Frederico Gemesio Lemos;1030088;Nº Da Autorização/Licença Sisbio: 18913, Projeto: Ecologia E Conservação De Felinos Ameaçados De Extinção No Triângulo Mineiro E No Sudeste De Goiás;03/04/2016;04/04/2016 a 10/04/2016;15/07/2017;Puma concolor;Onça-parda;Puma concolor;species;2;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Área De Influência Direta Do Complexo Energetico Amador Aguiar;Brasil;MG;Araguari;Espécie não Sensível;-18.665833;-48.179722;Coordenada de referência da área amostrada;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Frederico Gemesio Lemos;1030089;Nº Da Autorização/Licença Sisbio: 18913, Projeto: Ecologia E Conservação De Felinos Ameaçados De Extinção No Triângulo Mineiro E No Sudeste De Goiás;03/04/2016;04/04/2016 a 10/04/2016;15/07/2017;Puma concolor;Onça-parda;Puma concolor;species;2;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Área De Influência Direta Do Complexo Energetico Amador Aguiar;Brasil;MG;Araguari;Espécie não Sensível;-18.665833;-48.179722;Coordenada de referência da área amostrada;Sem Informações;Depositado em banco de amostras biológicas
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;João Valsecchi Do Amaral;1032621;Nº Da Autorização/Licença Sisbio: 29092, Projeto: Sistema De Monitoramento De Fauna Do Idsm;02/11/2014;03/11/2014 a 03/11/2014;19/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva De Desenvolvimento Sustentável Mamirauá;Brasil;AM;Uarini;Espécie não Sensível;-3.1175;-64.791942;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;João Valsecchi Do Amaral;1032622;Nº Da Autorização/Licença Sisbio: 29092, Projeto: Sistema De Monitoramento De Fauna Do Idsm;15/12/2014;16/12/2014 a 16/12/2014;19/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva De Desenvolvimento Sustentável Mamirauá;Brasil;AM;Uarini;Espécie não Sensível;-3.1175;-64.791942;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;João Valsecchi Do Amaral;1032623;Nº Da Autorização/Licença Sisbio: 29092, Projeto: Sistema De Monitoramento De Fauna Do Idsm;14/05/2014;15/05/2014 a 15/05/2014;19/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva De Desenvolvimento Sustentável Mamirauá;Brasil;AM;Uarini;Espécie não Sensível;-3.1175;-64.791942;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;João Valsecchi Do Amaral;1032624;Nº Da Autorização/Licença Sisbio: 29092, Projeto: Sistema De Monitoramento De Fauna Do Idsm;21/12/2014;22/12/2014 a 22/12/2014;19/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva De Desenvolvimento Sustentável Mamirauá;Brasil;AM;Uarini;Espécie não Sensível;-2.797778;-65.1325;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
